DATE,A939RX0Q048SBEA
1980-01-01,30154.0
1980-04-01,29451.0
1980-07-01,29328.0
1980-10-01,29794.0
1981-01-01,30316.0
1981-04-01,30023.0
1981-07-01,30300.0
1981-10-01,29892.0
1982-01-01,29365.0
1982-04-01,29434.0
1982-07-01,29247.0
1982-10-01,29186.0
1983-01-01,29511.0
1983-04-01,30120.0
1983-07-01,30647.0
1983-10-01,31213.0
1984-01-01,31762.0
1984-04-01,32246.0
1984-07-01,32478.0
1984-10-01,32665.0
1985-01-01,32920.0
1985-04-01,33140.0
1985-07-01,33560.0
1985-10-01,33725.0
1986-01-01,33972.0
1986-04-01,34053.0
1986-07-01,34294.0
1986-10-01,34396.0
1987-01-01,34585.0
1987-04-01,34885.0
1987-07-01,35101.0
1987-10-01,35615.0
1988-01-01,35728.0
1988-04-01,36122.0
1988-07-01,36239.0
1988-10-01,36631.0
1989-01-01,36929.0
1989-04-01,37127.0
1989-07-01,37299.0
1989-10-01,37271.0
1990-01-01,37593.0
1990-04-01,37612.0
1990-07-01,37505.0
1990-10-01,37032.0
1991-01-01,36746.0
1991-04-01,36914.0
1991-07-01,36969.0
1991-10-01,36971.0
1992-01-01,37304.0
1992-04-01,37583.0
1992-07-01,37815.0
1992-10-01,38077.0
1993-01-01,38029.0
1993-04-01,38135.0
1993-07-01,38186.0
1993-10-01,38582.0
1994-01-01,38852.0
1994-04-01,39263.0
1994-07-01,39366.0
1994-10-01,39695.0
1995-01-01,39729.0
1995-04-01,39735.0
1995-07-01,39944.0
1995-10-01,40092.0
1996-01-01,40292.0
1996-04-01,40848.0
1996-07-01,41080.0
1996-10-01,41375.0
1997-01-01,41532.0
1997-04-01,42102.0
1997-07-01,42487.0
1997-10-01,42719.0
1998-01-01,43035.0
1998-04-01,43315.0
1998-07-01,43721.0
1998-10-01,44293.0
1999-01-01,44600.0
1999-04-01,44820.0
1999-07-01,45263.0
1999-10-01,45894.0
2000-01-01,45944.0
2000-04-01,46669.0
2000-07-01,46605.0
2000-10-01,46771.0
2001-01-01,46531.0
2001-04-01,46693.0
2001-07-01,46378.0
2001-10-01,46386.0
2002-01-01,46690.0
2002-04-01,46868.0
2002-07-01,46958.0
2002-10-01,46916.0
2003-01-01,47078.0
2003-04-01,47378.0
2003-07-01,48063.0
2003-10-01,48499.0
2004-01-01,48663.0
2004-04-01,48927.0
2004-07-01,49267.0
2004-10-01,49637.0
2005-01-01,50081.0
2005-04-01,50204.0
2005-07-01,50523.0
2005-10-01,50715.0
2006-01-01,51277.0
2006-04-01,51281.0
2006-07-01,51228.0
2006-10-01,51532.0
2007-01-01,51540.0
2007-04-01,51719.0
2007-07-01,51866.0
2007-10-01,52049.0
2008-01-01,51637.0
2008-04-01,51790.0
2008-07-01,51384.0
2008-10-01,50154.0
2009-01-01,49491.0
2009-04-01,49318.0
2009-07-01,49384.0
2009-10-01,49811.0
2010-01-01,49903.0
2010-04-01,50272.0
2010-07-01,50545.0
2010-10-01,50698.0
2011-01-01,50495.0
2011-04-01,50773.0
2011-07-01,50660.0
2011-10-01,51150.0
2012-01-01,51468.0
2012-04-01,51607.0
2012-07-01,51578.0
2012-10-01,51539.0
2013-01-01,51921.0
2013-04-01,51906.0
2013-07-01,52212.0
2013-10-01,52526.0
2014-01-01,52293.0
2014-04-01,52913.0
2014-07-01,53452.0
2014-10-01,53646.0
2015-01-01,54071.0
2015-04-01,54348.0
2015-07-01,54439.0
2015-10-01,54420.0
2016-01-01,54640.0
2016-04-01,54722.0
2016-07-01,54918.0
2016-10-01,55165.0
2017-01-01,55401.0
2017-04-01,55560.0
2017-07-01,55874.0
2017-10-01,56324.0
2018-01-01,56785.0
2018-04-01,57099.0
2018-07-01,57317.0
2018-10-01,57429.0
2019-01-01,57789.0
2019-04-01,57942.0
2019-07-01,58229.0
2019-10-01,58490.0
2020-01-01,57691.0
2020-04-01,52448.0
2020-07-01,56290.0
2020-10-01,56766.0