Date,Inflation Rate
2020-12-01,0.09
2020-11-01,-0.06
2020-10-01,0.04
2020-09-01,0.14
2020-08-01,0.32
2020-07-01,0.51
2020-06-01,0.55
2020-05-01,0.00
2020-04-01,-0.67
2020-03-01,-0.22
2020-02-01,0.27
2020-01-01,0.39
2019-12-01,-0.09
2019-11-01,-0.05
2019-10-01,0.23
2019-09-01,0.08
2019-08-01,-0.01
2019-07-01,0.17
2019-06-01,0.02
2019-05-01,0.21
2019-04-01,0.53
2019-03-01,0.56
2019-02-01,0.42
2019-01-01,0.19
2018-12-01,-0.32
2018-11-01,-0.33
2018-10-01,0.18
2018-09-01,0.12
2018-08-01,0.06
2018-07-01,0.01
2018-06-01,0.16
2018-05-01,0.42
2018-04-01,0.40
2018-03-01,0.23
2018-02-01,0.45
2018-01-01,0.54
2017-12-01,-0.06
2017-11-01,0.00
2017-10-01,-0.06
2017-09-01,0.53
2017-08-01,0.30
2017-07-01,-0.07
2017-06-01,0.09
2017-05-01,0.09
2017-04-01,0.30
2017-03-01,0.08
2017-02-01,0.31
2017-01-01,0.58
2016-12-01,0.03
2016-11-01,-0.16
2016-10-01,0.12
2016-09-01,0.24
2016-08-01,0.09
2016-07-01,-0.16
2016-06-01,0.33
2016-05-01,0.40
2016-04-01,0.47
2016-03-01,0.43
2016-02-01,0.08
2016-01-01,0.17
2015-12-01,-0.34
2015-11-01,-0.21
2015-10-01,-0.04
2015-09-01,-0.16
2015-08-01,-0.14
2015-07-01,0.01
2015-06-01,0.35
2015-05-01,0.51
2015-04-01,0.20
2015-03-01,0.60
2015-02-01,0.43
2015-01-01,-0.47
2014-12-01,-0.57
2014-11-01,-0.54
2014-10-01,-0.25
2014-09-01,0.08
2014-08-01,-0.17
2014-07-01,-0.04
2014-06-01,0.19
2014-05-01,0.35
2014-04-01,0.33
2014-03-01,0.64
2014-02-01,0.37
2014-01-01,0.37
2013-12-01,-0.01
2013-11-01,-0.20
2013-10-01,-0.26
2013-09-01,0.12
2013-08-01,0.12
2013-07-01,0.04
2013-06-01,0.24
2013-05-01,0.18
2013-04-01,-0.10
2013-03-01,0.26
2013-02-01,0.82
2013-01-01,0.30
2012-12-01,-0.27
2012-11-01,-0.47
2012-10-01,-0.04
2012-09-01,0.45
2012-08-01,0.56
2012-07-01,-0.16
2012-06-01,-0.15
2012-05-01,-0.12
2012-04-01,0.30
2012-03-01,0.76
2012-02-01,0.44
2012-01-01,0.44
2011-12-01,-0.25
2011-11-01,-0.08
2011-10-01,-0.21
2011-09-01,0.15
2011-08-01,0.28
2011-07-01,0.09
2011-06-01,-0.11
2011-05-01,0.47
2011-04-01,0.64
2011-03-01,0.98
2011-02-01,0.49
2011-01-01,0.48
2010-12-01,0.17
2010-11-01,0.04
2010-10-01,0.12
2010-09-01,0.06
2010-08-01,0.14
2010-07-01,0.02
2010-06-01,-0.10
2010-05-01,0.08
2010-04-01,0.17
2010-03-01,0.41
2010-02-01,0.02
2010-01-01,0.34
2009-12-01,-0.18
2009-11-01,0.07
2009-10-01,0.10
2009-09-01,0.06
2009-08-01,0.22
2009-07-01,-0.16
2009-06-01,0.86
2009-05-01,0.29
2009-04-01,0.25
2009-03-01,0.24
2009-02-01,0.50
2009-01-01,0.44
2008-12-01,-1.03
2008-11-01,-1.92
2008-10-01,-1.01
2008-09-01,-0.14
2008-08-01,-0.40
2008-07-01,0.53
2008-06-01,1.01
2008-05-01,0.84
2008-04-01,0.61
2008-03-01,0.87
2008-02-01,0.29
2008-01-01,0.50
2007-12-01,-0.07
2007-11-01,0.59
2007-10-01,0.21
2007-09-01,0.28
2007-08-01,-0.18
2007-07-01,-0.03
2007-06-01,0.19
2007-05-01,0.61
2007-04-01,0.65
2007-03-01,0.91
2007-02-01,0.54
2007-01-01,0.31
2006-12-01,0.15
2006-11-01,-0.15
2006-10-01,-0.54
2006-09-01,-0.49
2006-08-01,0.20
2006-07-01,0.30
2006-06-01,0.20
2006-05-01,0.50
2006-04-01,0.85
2006-03-01,0.55
2006-02-01,0.20
2006-01-01,0.76
2005-12-01,-0.40
2005-11-01,-0.80
2005-10-01,0.20
2005-09-01,1.22
2005-08-01,0.51
2005-07-01,0.46
2005-06-01,0.05
2005-05-01,-0.10
2005-04-01,0.67
2005-03-01,0.78
2005-02-01,0.58
2005-01-01,0.21
2004-12-01,-0.37
2004-11-01,0.05
2004-10-01,0.53
2004-09-01,0.21
2004-08-01,0.05
2004-07-01,-0.16
2004-06-01,0.32
2004-05-01,0.59
2004-04-01,0.32
2004-03-01,0.64
2004-02-01,0.54
2004-01-01,0.49
2003-12-01,-0.11
2003-11-01,-0.27
2003-10-01,-0.11
2003-09-01,0.33
2003-08-01,0.38
2003-07-01,0.11
2003-06-01,0.11
2003-05-01,-0.16
2003-04-01,-0.22
2003-03-01,0.60
2003-02-01,0.77
2003-01-01,0.44
2002-12-01,-0.22
2002-11-01,0.00
2002-10-01,0.17
2002-09-01,0.17
2002-08-01,0.33
2002-07-01,0.11
2002-06-01,0.06
2002-05-01,0.00
2002-04-01,0.56
2002-03-01,0.56
2002-02-01,0.40
2002-01-01,0.23
2001-12-01,-0.39
2001-11-01,-0.17
2001-10-01,-0.34
2001-09-01,0.45
2001-08-01,0.00
2001-07-01,-0.28
2001-06-01,0.17
2001-05-01,0.45
2001-04-01,0.40
2001-03-01,0.23
2001-02-01,0.40
2001-01-01,0.63
2000-12-01,-0.06
2000-11-01,0.06
2000-10-01,0.17
2000-09-01,0.52
2000-08-01,0.00
2000-07-01,0.23
2000-06-01,0.52
2000-05-01,0.12
2000-04-01,0.06
2000-03-01,0.82
2000-02-01,0.59
2000-01-01,0.30
1999-12-01,0.00
1999-11-01,0.06
1999-10-01,0.18
1999-09-01,0.48
1999-08-01,0.24
1999-07-01,0.30
1999-06-01,0.00
1999-05-01,0.00
1999-04-01,0.73
1999-03-01,0.30
1999-02-01,0.12
1999-01-01,0.24
1998-12-01,-0.06
1998-11-01,0.00
1998-10-01,0.24
1998-09-01,0.12
1998-08-01,0.12
1998-07-01,0.12
1998-06-01,0.12
1998-05-01,0.18
1998-04-01,0.18
1998-03-01,0.19
1998-02-01,0.19
1998-01-01,0.19
1997-12-01,-0.12
1997-11-01,-0.06
1997-10-01,0.25
1997-09-01,0.25
1997-08-01,0.19
1997-07-01,0.12
1997-06-01,0.12
1997-05-01,-0.06
1997-04-01,0.13
1997-03-01,0.25
1997-02-01,0.31
1997-01-01,0.32
1996-12-01,0.00
1996-11-01,0.19
1996-10-01,0.32
1996-09-01,0.32
1996-08-01,0.19
1996-07-01,0.19
1996-06-01,0.06
1996-05-01,0.19
1996-04-01,0.39
1996-03-01,0.52
1996-02-01,0.32
1996-01-01,0.59
1995-12-01,-0.07
1995-11-01,-0.07
1995-10-01,0.33
1995-09-01,0.20
1995-08-01,0.26
1995-07-01,0.00
1995-06-01,0.20
1995-05-01,0.20
1995-04-01,0.33
1995-03-01,0.33
1995-02-01,0.40
1995-01-01,0.40
1994-12-01,0.00
1994-11-01,0.13
1994-10-01,0.07
1994-09-01,0.27
1994-08-01,0.40
1994-07-01,0.27
1994-06-01,0.34
1994-05-01,0.07
1994-04-01,0.14
1994-03-01,0.34
1994-02-01,0.34
1994-01-01,0.27
1993-12-01,0.00
1993-11-01,0.07
1993-10-01,0.41
1993-09-01,0.21
1993-08-01,0.28
1993-07-01,0.00
1993-06-01,0.14
1993-05-01,0.14
1993-04-01,0.28
1993-03-01,0.35
1993-02-01,0.35
1993-01-01,0.49
1992-12-01,-0.07
1992-11-01,0.14
1992-10-01,0.35
1992-09-01,0.28
1992-08-01,0.28
1992-07-01,0.21
1992-06-01,0.36
1992-05-01,0.14
1992-04-01,0.14
1992-03-01,0.51
1992-02-01,0.36
1992-01-01,0.15
1991-12-01,0.07
1991-11-01,0.29
1991-10-01,0.15
1991-09-01,0.44
1991-08-01,0.29
1991-07-01,0.15
1991-06-01,0.29
1991-05-01,0.30
1991-04-01,0.15
1991-03-01,0.15
1991-02-01,0.15
1991-01-01,0.60
1990-12-01,0.00
1990-11-01,0.22
1990-10-01,0.60
1990-09-01,0.84
1990-08-01,0.92
1990-07-01,0.38
1990-06-01,0.54
1990-05-01,0.23
1990-04-01,0.16
1990-03-01,0.55
1990-02-01,0.47
1990-01-01,1.03
1989-12-01,0.16
1989-11-01,0.24
1989-10-01,0.48
1989-09-01,0.32
1989-08-01,0.16
1989-07-01,0.24
1989-06-01,0.24
1989-05-01,0.57
1989-04-01,0.65
1989-03-01,0.58
1989-02-01,0.41
1989-01-01,0.50
1988-12-01,0.17
1988-11-01,0.08
1988-10-01,0.33
1988-09-01,0.67
1988-08-01,0.42
1988-07-01,0.42
1988-06-01,0.43
1988-05-01,0.34
1988-04-01,0.52
1988-03-01,0.43
1988-02-01,0.26
1988-01-01,0.26
1987-12-01,0.00
1987-11-01,0.09
1987-10-01,0.26
1987-09-01,0.52
1987-08-01,0.53
1987-07-01,0.26
1987-06-01,0.35
1987-05-01,0.35
1987-04-01,0.54
1987-03-01,0.45
1987-02-01,0.36
1987-01-01,0.63
1986-12-01,0.09
1986-11-01,0.09
1986-10-01,0.09
1986-09-01,0.46
1986-08-01,0.18
1986-07-01,0.00
1986-06-01,0.55
1986-05-01,0.28
1986-04-01,-0.18
1986-03-01,-0.46
1986-02-01,-0.27
1986-01-01,0.27